Region,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Rostov Oblast,Wine,849.43,2,0.22
Sevastopol,Wine,259.03,5.4,0.59
Dagestan,Wine,70.02,0.23,0.02
Ingushetia,Wine,1.56,0.03,0
Kabardino-Balkaria,Wine,31.47,0.35,0.04
Karachay-Cherkessia,Wine,28.28,0.6,0.07
North Ossetia-Alania,Wine,22.28,0.32,0.03
Chechnya,Wine,1.44,0.01,0
Stavropol Krai,Wine,496.29,1.72,0.19
Bashkortostan,Wine,915.14,2.22,0.24
Mari El,Wine,173.07,2.52,0.28
Mordovia,Wine,150.42,1.85,0.2
Tatarstan,Wine,925.96,2.33,0.26
Udmurtia,Wine,448.52,3.01,0.33
Chuvashia,Wine,263.14,2.15,0.24
Perm Krai,Wine,902.03,3.46,0.38
Kirov Oblast,Wine,446.61,3.64,0.4
Nizhny Novgorod Oblast,Wine,1166.12,3.63,0.4
Orenburg Oblast,Wine,477.57,2.47,0.27
Penza Oblast,Wine,277.58,2.1,0.23
Samara Oblast,Wine,1063.34,3.31,0.36
Saratov Oblast,Wine,539.61,2.15,0.24
Ulyanovsk Oblast,Wine,347.39,2.8,0.31
Kurgan Oblast,Wine,202.5,2.46,0.27
Sverdlovsk Oblast,Wine,1942.53,4.49,0.49
Khanty?Mansi Autonomous Okrug ? Yugra,Wine,549.24,3.3,0.36
Yamalo-Nenets Autonomous Okrug,Wine,184.61,3.61,0.4
Chelyabinsk Oblast,Wine,1196.95,3.42,0.38
Tyumen Oblast,Wine,503.52,3.29,0.36
Altai Republic,Wine,50.28,2.38,0.26
Tuva,Wine,21.73,0.67,0.07
Khakassia,Wine,131.87,2.44,0.27
Altai Krai,Wine,536.95,2.36,0.26
Krasnoyarsk Krai,Wine,897.9,3.12,0.34
Irkutsk Oblast,Wine,793.06,3.29,0.36
Kemerovo Oblast,Wine,674.83,2.51,0.28
Novosibirsk Oblast,Wine,976.85,3.49,0.38
Omsk Oblast,Wine,526.66,2.71,0.3
Tomsk Oblast,Wine,346.49,3.22,0.35
Buryatia,Wine,180.56,1.84,0.2
Sakha (Yakutia),Wine,223,2.3,0.25
Zabaykalsky Krai,Wine,235.98,2.26,0.25
Kamchatka Krai,Wine,135.17,4.47,0.49
Primorsky Krai,Wine,768.29,4.05,0.45
Khabarovsk Krai,Wine,472.28,3.57,0.39
Amur Oblast,Wine,263.95,3.33,0.37
Magadan Oblast,Wine,62.31,4.36,0.48
Sakhalin Oblast,Wine,223.43,4.67,0.51
Jewish Autonomous Oblast,Wine,41,2.58,0.28
Chukotka Autonomous Okrug,Wine,13.09,2.73,0.3
