Date,Open,High,Low,Close,Volume
2019-11-11 00:00:00-05:00,137.6100006,137.7899933,136.4400024,137.0599976,7037300
2019-11-12 00:00:00-05:00,137.0299988,137.5899963,136.1900024,137.4299927,6448600
2019-11-13 00:00:00-05:00,137.8000031,138.2200012,137.6399994,137.9799957,8776000
2019-11-14 00:00:00-05:00,138.3899994,138.9400024,137.8699951,138.5599976,5220500
2019-11-15 00:00:00-05:00,138.0299988,138.4199982,137.9700012,138.2100067,10106700
2019-11-18 00:00:00-05:00,138.4400024,138.8500061,138.3000031,138.6199951,5717900
2019-11-19 00:00:00-05:00,138.1300049,138.9700012,138.1300049,138.6900024,4824400
2019-11-20 00:00:00-05:00,138.5299988,139,138.1000061,138.7599945,6892100
2019-11-21 00:00:00-05:00,138.3899994,138.5599976,137.7700043,138,4197200
2019-11-22 00:00:00-05:00,138.3699951,138.4600067,137.6600037,137.7400055,3620300
2019-11-25 00:00:00-05:00,137.3200073,137.6199951,136.9900055,137.0800018,6415800
2019-11-26 00:00:00-05:00,136.9799957,137.8000031,136.5800018,137.7400055,4724400
2019-11-27 00:00:00-05:00,137.0299988,137.2100067,136.8300018,137.0099945,4111000
2019-11-29 00:00:00-05:00,137.1000061,138.1300049,137.0800018,137.8600006,4516400
2019-12-02 00:00:00-05:00,137.3200073,138.0899963,137.3000031,137.7899933,8274700
2019-12-03 00:00:00-05:00,139.0399933,139.5700073,138.9700012,139.1100006,8481700
2019-12-04 00:00:00-05:00,139.1600037,139.1699982,138.5899963,138.9199982,6322300
2019-12-05 00:00:00-05:00,138.8000031,139.4499969,138.7899933,139,5671500
2019-12-06 00:00:00-05:00,137.7599945,137.8300018,137.3999939,137.6199951,8714500
2019-12-09 00:00:00-05:00,137.8000031,137.8099976,137.4499969,137.5800018,2711600
2019-12-10 00:00:00-05:00,138.25,138.3300018,137.7400055,137.9700012,3240800
2019-12-11 00:00:00-05:00,138.1999969,139.3000031,138.1199951,138.9199982,6097500
2019-12-12 00:00:00-05:00,139.7799988,139.8500061,137.8800049,138.4299927,8815100
2019-12-13 00:00:00-05:00,138.5200043,139.2100067,137.9799957,139.0500031,6964300
2019-12-16 00:00:00-05:00,139.1999969,139.3899994,138.8000031,139.0399933,4646100
2019-12-17 00:00:00-05:00,139.0200043,139.3000031,138.8500061,139.0099945,4287500
2019-12-18 00:00:00-05:00,138.8600006,139.25,138.8099976,139.0200043,3607600
2019-12-19 00:00:00-05:00,139.0399933,139.5500031,138.8699951,139.3800049,4975000
2019-12-20 00:00:00-05:00,139.3699951,139.5200043,138.9799957,139.5200043,4463900
2019-12-23 00:00:00-05:00,139.5299988,139.9600067,139.5299988,139.9499969,5180900
2019-12-24 00:00:00-05:00,140.4400024,141.3300018,140.4299927,141.2700043,5303700
2019-12-26 00:00:00-05:00,142.0599976,142.4700012,141.9100037,142.3800049,8342500
2019-12-27 00:00:00-05:00,142.2599945,142.7299957,142.1699982,142.3300018,5119900
2019-12-30 00:00:00-05:00,142.5599976,142.8000031,142.4600067,142.6300049,4810600
2019-12-31 00:00:00-05:00,143.3099976,143.6000061,142.8000031,142.8999939,5313500
2020-01-02 00:00:00-05:00,143.8600006,144.2100067,143.3999939,143.9499969,7733800
2020-01-03 00:00:00-05:00,145.75,146.3200073,145.3999939,145.8600006,12272800
2020-01-06 00:00:00-05:00,148.4400024,148.4799957,146.9499969,147.3899994,14403300
2020-01-07 00:00:00-05:00,147.5700073,148.1399994,147.4299927,147.9700012,7978500
2020-01-08 00:00:00-05:00,148.4900055,148.6100006,146.1399994,146.8600006,22248500
2020-01-09 00:00:00-05:00,146.0700073,146.4100037,145.4400024,146.0299988,10292300
2020-01-10 00:00:00-05:00,146.2200012,146.9900055,146.1699982,146.9100037,6183300
